,precision,recall,f1-score,support
Good,0.0,0.0,0.0,1032.0
Hazardous,0.8379746835443038,0.5353099730458221,0.6532894736842105,1855.0
Moderate,0.6061882626380012,0.8634388578522657,0.7122983698899036,4833.0
Unhealthy,0.6063518595904722,0.677088194120392,0.6397707231040565,4286.0
Unhealthy_for_Sensitive_Groups,0.3953757225433526,0.15789473684210525,0.2256680963378423,2166.0
Very_Unhealthy,0.5523551338529312,0.6522609043617447,0.5981651376146789,2499.0
accuracy,0.6022434167116549,0.6022434167116549,0.6022434167116549,0.6022434167116549
macro avg,0.4997076103615102,0.4809987777037216,0.47153196677178205,16671.0
weighted avg,0.5590363071223252,0.6022434167116549,0.5626572545230011,16671.0
