p,d,q,order,AIC,BIC,MAE,RMSE,time,converged
3,0,3,"(3,0,3)",290702.2811423063,290769.4519651137,80.58696646313118,106.4989669615112,41.59223675727844,True
2,1,2,"(2,1,2)",290726.1121892995,290768.0938008334,92.47164321366672,112.52565140955716,12.265102863311768,True
1,1,3,"(1,1,3)",290726.5780264932,290768.5596380271,92.35569152797203,112.42443046648894,12.397497653961182,True
2,0,3,"(2,0,3)",290726.63872803585,290785.4131979923,81.75917090160385,108.74166912367777,9.27163314819336,True
3,1,1,"(3,1,1)",290727.15001837723,290769.13162991113,92.47733402067344,112.52136371351806,11.912981986999512,True
3,1,3,"(3,1,3)",290728.68332437205,290787.4575805195,92.70474335732202,112.65862717630829,16.21401882171631,True
1,1,2,"(1,1,2)",290729.366725016,290762.9520142431,91.8277880557323,111.94555017769989,9.865330219268799,True
2,1,3,"(2,1,3)",290733.1615224502,290783.5394562909,91.75337225682894,111.90435205733337,11.531583547592163,True
3,0,1,"(3,0,1)",290734.4355092301,290784.8136263357,83.81105519738904,112.3788328286592,22.804828643798828,True
2,0,1,"(2,0,1)",290734.6792778679,290776.6610421225,83.66291573650766,112.12358801655276,4.851276636123657,True
3,1,2,"(3,1,2)",290734.7761918175,290785.15412565815,93.90960314293159,113.55711023710123,7.0928566455841064,True
1,0,2,"(1,0,2)",290735.03670608497,290777.0184703396,83.65600789437889,112.11058542235129,2.1662583351135254,True
1,0,3,"(1,0,3)",290735.1176640287,290785.4957811343,83.76990078239584,112.31092109473629,2.716339111328125,True
3,0,0,"(3,0,0)",290735.6798194224,290777.66158367705,83.64762088057734,112.09596148294786,1.934149980545044,True
2,0,2,"(2,0,2)",290736.1215260243,290786.4996431299,83.74726427376824,112.27039722052604,2.3806774616241455,True
3,0,2,"(3,0,2)",290736.20051922795,290794.9749891844,83.75322064690253,112.27940774873188,16.52246356010437,True
2,1,1,"(2,1,1)",290736.5122331054,290770.0975223325,93.37918215650305,113.31271212678682,7.213459014892578,True
1,0,1,"(1,0,1)",290737.1776801564,290770.7630915601,83.40082673646435,111.67995526071037,2.2498691082000732,True
2,0,0,"(2,0,0)",290746.23650627106,290779.82191767474,84.09666071074653,112.85973523159316,1.3847055435180664,True
3,1,0,"(3,1,0)",291444.0736851129,291477.65897434,365.26280617062093,387.6392804680465,0.7779684066772461,True
2,1,0,"(2,1,0)",291450.00009884534,291475.1890657657,366.469780887499,388.8116763835593,0.47948360443115234,True
0,1,3,"(0,1,3)",291451.0870140186,291484.67230324575,366.0190255409002,388.3738428231592,1.4004404544830322,True
0,1,2,"(0,1,2)",291458.4233489439,291483.61231586424,367.16301164680186,389.4851334099824,1.199181318283081,True
1,1,1,"(1,1,1)",291459.1979220953,291484.3868890157,367.23798962922683,389.5579705372143,0.83280348777771,True
0,1,1,"(0,1,1)",291461.2448607985,291478.03750541207,367.4278867927281,389.7424430516364,0.6499037742614746,True
1,1,0,"(1,1,0)",291508.3938909794,291525.18653559295,368.0760995559876,390.37082960026896,0.36703944206237793,True
1,0,0,"(1,0,0)",291784.4634835435,291809.6525420963,79.61210788835862,105.21200476093942,0.6332426071166992,True
0,1,0,"(0,1,0)",292320.89329195005,292329.2896142568,365.736,388.10097139790827,0.29666686058044434,True
0,0,3,"(0,0,3)",312391.96654504316,312433.9483092978,96.5095055524447,136.8245580085647,14.546750545501709,True
0,0,2,"(0,0,2)",324016.9057390633,324050.49115046696,96.91625113052692,137.57580150910616,9.202590465545654,True
0,0,1,"(0,0,1)",344437.9979917726,344463.1870503254,97.21676019566428,138.18699999331747,5.5638673305511475,True
0,0,0,"(0,0,0)",380204.53672731505,380221.3294330169,97.56767375580688,138.98500380129806,7.368786573410034,True
